State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Latitude ,Longitude,Year
CA,Healthcare Provider,1039,11/19/2013,Loss,Portable Electronic Device,,,2013
CA,Healthcare Provider,49000,11/22/2013,Loss,Portable Electronic Device,,,2013
NY,Business Associate,9642,12/12/2013,Loss,Portable Electronic Device,,,2013
NY,Healthcare Provider,2172,01/22/2014,Loss,Portable Electronic Device,,,2014
WI,Business Associate,41437,01/30/2014,Loss,Portable Electronic Device,,,2014
TX,Healthcare Provider,3598,01/31/2014,Loss,Portable Electronic Device,,,2014
FL,Healthcare Provider,586,03/24/2014,Loss,Portable Electronic Device,,,2014
CA,Healthcare Provider,793,04/14/2014,Loss,Portable Electronic Device,,,2014
NY,Healthcare Provider,914,09/09/2014,Loss,Portable Electronic Device,,,2014
TX,Health Plan,507,10/28/2014,Loss,Portable Electronic Device,,,2014
VA,Healthcare Provider,5534,03/27/2014,Loss,Portable Electronic Device,,,2014
TX,Healthcare Provider,3200,08/19/2013,Loss,Portable Electronic Device,,,2013
CA,Healthcare Provider,33702,06/13/2014,Loss,Portable Electronic Device,,,2014
MN,Business Associate,2533,07/13/2012,Loss,Portable Electronic Device,,,2012
MI,Healthcare Provider,10000,12/15/2009,Theft,Portable Electronic Device,,,2009
AZ,Healthcare Provider,2773,04/01/2010,Theft,Portable Electronic Device,,,2010
NY,Healthcare Provider,2563,07/07/2010,Theft,Portable Electronic Device,,,2010
VA,Healthcare Provider,669,07/15/2010,Theft,Portable Electronic Device,,,2010
NY,Business Associate,3630,08/26/2010,Theft,Portable Electronic Device,,,2010
MA,Healthcare Provider,638,08/03/2011,Theft,Portable Electronic Device,,,2011
FL,Healthcare Provider,1219,01/30/2012,Theft,Portable Electronic Device,,,2012
TX,Healthcare Provider,1972,03/16/2012,Theft,Portable Electronic Device,,,2012
FL,Healthcare Provider,2557,06/04/2012,Theft,Portable Electronic Device,,,2012
IN,Healthcare Provider,55000,08/28/2012,Theft,Portable Electronic Device,,,2012
VA,Healthcare Provider,4873,09/13/2012,Theft,Portable Electronic Device,,,2012
KY,Healthcare Provider,2376,10/12/2012,Theft,Portable Electronic Device,,,2012
CT,Healthcare Provider,14511,11/21/2012,Theft,Portable Electronic Device,,,2012
MA,Healthcare Provider,716,02/14/2013,Theft,Portable Electronic Device,,,2013
NY,Business Associate,28187,03/01/2013,Theft,Portable Electronic Device,,,2013
AZ,Healthcare Provider,3800,05/01/2013,Theft,Portable Electronic Device,,,2013
PA,Business Associate,22000,05/07/2013,Theft,Portable Electronic Device,,,2013
WI,Healthcare Provider,9328,11/18/2013,Theft,Portable Electronic Device,,,2013
KY,Healthcare Provider,535,12/10/2013,Theft,Portable Electronic Device,,,2013
CA,Healthcare Provider,4676,02/05/2014,Theft,Portable Electronic Device,,,2014
CA,Healthcare Provider,5499,03/28/2014,Theft,Portable Electronic Device,,,2014
MI,Health Plan,2595,04/03/2014,Theft,Portable Electronic Device,,,2014
PR,Business Associate,7911,04/15/2014,Theft,Portable Electronic Device,,,2014
ID,Healthcare Provider,6900,04/18/2014,Theft,Portable Electronic Device,,,2014
KY,Health Plan,2962,05/23/2014,Theft,Portable Electronic Device,,,2014
NC,Healthcare Provider,10993,08/29/2014,Theft,Portable Electronic Device,,,2014
NM,Healthcare Provider,843,09/12/2014,Theft,Portable Electronic Device,,,2014
NY,Healthcare Provider,5117,01/23/2015,Theft,Portable Electronic Device,,,2015
TN,Healthcare Provider,56694,02/02/2015,Theft,Portable Electronic Device,,,2015
IN,Health Plan,38351,03/06/2015,Theft,Portable Electronic Device,,,2015
TX,Healthcare Provider,940,08/05/2013,Unauthorized Access/Disclosure,Portable Electronic Device,,,2013
KS,Healthcare Provider,1700,01/21/2014,Unauthorized Access/Disclosure,Portable Electronic Device,,,2014
KY,Business Associate,4077,09/22/2014,Unauthorized Access/Disclosure,Portable Electronic Device,,,2014
NY,Healthcare Provider,835,10/10/2014,Unauthorized Access/Disclosure,Portable Electronic Device,,,2014
AZ,Healthcare Provider,616,12/12/2014,Unauthorized Access/Disclosure,Portable Electronic Device,,,2014
TX,Healthcare Provider,874,04/09/2015,Unauthorized Access/Disclosure,Portable Electronic Device,,,2015
IN,Healthcare Provider,660,02/14/2012,Hacking/IT Incident,Other,,,2012
IL,Business Associate,1290,09/06/2013,Hacking/IT Incident,Other,,,2013
FL,Business Associate,1831,06/12/2014,Hacking/IT Incident,Other,,,2014
OR,Healthcare Provider,151626,03/18/2015,Hacking/IT Incident,Other,,,2015
MT,Healthcare Provider,7038,04/02/2015,Hacking/IT Incident,Other,,,2015
PA,Healthcare Provider,11000,06/19/2014,Hacking/IT Incident,Other,,,2014
OH,Healthcare Provider,500,04/28/2011,Improper Disposal,Other,,,2011
TX,Healthcare Provider,1031,05/19/2011,Improper Disposal,Other,,,2011
IN,Business Associate,5388,05/20/2013,Improper Disposal,Other,,,2013
TX,Business Associate,277014,07/11/2013,Improper Disposal,Other,,,2013
SC,Healthcare Clearing House,4204,09/13/2013,Improper Disposal,Other,,,2013
AZ,Healthcare Provider,3529,07/25/2014,Improper Disposal,Other,,,2014
TN,Healthcare Provider,28300,08/12/2014,Improper Disposal,Other,,,2014
GA,Healthcare Provider,720,08/28/2014,Improper Disposal,Other,,,2014
CA,Business Associate,1674,08/13/2014,Improper Disposal,Other,,,2014
,Business Associate,5220,05/24/2010,Loss,Other,,,2010
GA,Business Associate,14000,06/21/2010,Loss,Other,,,2010
,Business Associate,1073,07/30/2010,Loss,Other,,,2010
ID,Business Associate,5500,08/10/2010,Loss,Other,,,2010
FL,Healthcare Provider,1055489,10/07/2011,Loss,Other,,,2011
AR,Healthcare Provider,1472,10/21/2011,Loss,Other,,,2011
VA,Business Associate,4900000,11/04/2011,Loss,Other,,,2011
FL,Healthcare Provider,772,12/01/2011,Loss,Other,,,2011
OK,Health Plan,844,01/20/2012,Loss,Other,,,2012
RI,Healthcare Provider,14004,11/05/2012,Loss,Other,,,2012
PA,Healthcare Provider,1184,01/18/2013,Loss,Other,,,2013
TN,Healthcare Provider,4268,09/13/2013,Loss,Other,,,2013
NJ,Healthcare Provider,36400,08/07/2014,Loss,Other,,,2014
SD,Health Plan,620,07/15/2014,Loss,Other,,,2014
IA,Healthcare Provider,7335,06/26/2013,Loss,Other,,,2013
MI,Healthcare Provider,83945,04/05/2010,Other,Other,,,2010
WI,Healthcare Provider,600,04/16/2010,Other,Other,,,2010
PA,Health Plan,560,08/03/2010,Other,Other,,,2010
MD,Health Plan,692,10/06/2010,Other,Other,,,2010
NJ,Business Associate,1700,02/08/2012,Other,Other,,,2012
FL,Health Plan,9497,04/13/2012,Other,Other,,,2012
CA,Health Plan,18000,11/17/2012,Other,Other,,,2012
IN,Business Associate,2575,11/26/2012,Other,Other,,,2012
CA,Healthcare Provider,1386,05/24/2013,Other,Other,,,2013
NC,Healthcare Provider,7300,11/08/2013,Other,Other,,,2013
AL,Business Associate,1085,01/24/2014,Other,Other,,,2014
GA,Business Associate,600,02/28/2014,Other,Other,,,2014
AZ,Healthcare Provider,55207,03/05/2014,Other,Other,,,2014
WI,Business Associate,1400,04/18/2014,Other,Other,,,2014
MA,Business Associate,15265,04/29/2014,Other,Other,,,2014
TN,Health Plan,1717,08/29/2014,Other,Other,,,2014
PA,Business Associate,8845,02/26/2014,Theft,Other,,,2014
CO,Health Plan,11551,08/12/2014,Theft,Other,,,2014
GA,Healthcare Provider,315000,04/18/2012,Theft,Other,,,2012
CA,Healthcare Provider,596,12/10/2009,Theft,Other,,,2009
MA,Healthcare Provider,1076,01/08/2010,Theft,Other,,,2010
ID,Business Associate,2562,01/14/2010,Theft,Other,,,2010
MI,Healthcare Provider,10000,01/15/2010,Theft,Other,,,2010
TX,Healthcare Provider,689,01/25/2010,Theft,Other,,,2010
UT,Business Associate,5700,02/05/2010,Theft,Other,,,2010
NY,Health Plan,344579,04/14/2010,Theft,Other,,,2010
VA,Business Associate,1874,04/27/2010,Theft,Other,,,2010
PA,Business Associate,130495,06/04/2010,Theft,Other,,,2010
CO,Healthcare Provider,2500,10/26/2010,Theft,Other,,,2010
TN,Health Plan,1023209,11/01/2010,Theft,Other,,,2010
MO,Business Associate,4800,01/18/2011,Theft,Other,,,2011
CT,Business Associate,93500,04/05/2011,Theft,Other,,,2011
CO,Business Associate,3589,06/29/2011,Theft,Other,,,2011
PR,Business Associate,5848,08/15/2011,Theft,Other,,,2011
PR,Health Plan,2209,09/29/2011,Theft,Other,,,2011
CT,Business Associate,3994,10/11/2011,Theft,Other,,,2011
PA,Healthcare Provider,3150,10/14/2011,Theft,Other,,,2011
PA,Healthcare Provider,500,10/17/2011,Theft,Other,,,2011
MO,Business Associate,7059,10/22/2011,Theft,Other,,,2011
KS,Business Associate,8275,11/14/2011,Theft,Other,,,2011
IN,Healthcare Provider,10705,12/05/2011,Theft,Other,,,2011
WA,Healthcare Provider,4693,12/15/2011,Theft,Other,,,2011
CA,Health Plan,703,02/15/2012,Theft,Other,,,2012
TX,Business Associate,2559,03/02/2012,Theft,Other,,,2012
CA,Business Associate,2000,04/10/2012,Theft,Other,,,2012
CA,Healthcare Provider,1900,05/18/2012,Theft,Other,,,2012
TX,Healthcare Provider,500,05/26/2012,Theft,Other,,,2012
IN,Healthcare Provider,1504,07/25/2012,Theft,Other,,,2012
OR,Healthcare Provider,702,07/31/2012,Theft,Other,,,2012
GA,Healthcare Provider,3440,10/18/2012,Theft,Other,,,2012
OH,Healthcare Provider,2500,05/03/2013,Theft,Other,,,2013
IN,Business Associate,5497,08/13/2013,Theft,Other,,,2013
AZ,Business Associate,1456,11/13/2013,Theft,Other,,,2013
OH,Health Plan,1139,02/14/2014,Theft,Other,,,2014
TX,Healthcare Provider,5000,03/13/2014,Theft,Other,,,2014
PR,Health Plan,5795,04/02/2014,Theft,Other,,,2014
PR,Health Plan,17776,04/03/2014,Theft,Other,,,2014
MS,Healthcare Provider,3750,04/16/2014,Theft,Other,,,2014
MA,Health Plan,8830,04/24/2014,Theft,Other,,,2014
FL,Business Associate,9255,06/11/2014,Theft,Other,,,2014
CA,Healthcare Provider,1863,10/15/2014,Theft,Other,,,2014
MA,Healthcare Provider,14100,01/30/2015,Theft,Other,,,2015
CA,Healthcare Provider,2500,03/06/2015,Theft,Other,,,2015
CA,Healthcare Provider,1787,04/16/2015,Theft,Other,,,2015
PA,Healthcare Provider,2259,05/15/2015,Theft,Other,,,2015
NC,Business Associate,20512,05/15/2015,Theft,Other,,,2015
AR,Healthcare Provider,1900,05/23/2013,Theft,Other,,,2013
IN,Business Associate,585,12/27/2010,Unauthorized Access/Disclosure,Other,,,2010
CA,Healthcare Provider,2250,02/11/2011,Unauthorized Access/Disclosure,Other,,,2011
MO,Health Plan,935,04/08/2011,Unauthorized Access/Disclosure,Other,,,2011
IL,Business Associate,675,04/19/2011,Unauthorized Access/Disclosure,Other,,,2011
MO,Health Plan,850,05/09/2011,Unauthorized Access/Disclosure,Other,,,2011
FL,Health Plan,3463,06/17/2011,Unauthorized Access/Disclosure,Other,,,2011
CA,Business Associate,19651,08/29/2011,Unauthorized Access/Disclosure,Other,,,2011
MT,Business Associate,2700,01/11/2012,Unauthorized Access/Disclosure,Other,,,2012
MD,Business Associate,632,02/28/2012,Unauthorized Access/Disclosure,Other,,,2012
NC,Healthcare Provider,1370,03/23/2012,Unauthorized Access/Disclosure,Other,,,2012
AR,Healthcare Provider,7121,04/20/2012,Unauthorized Access/Disclosure,Other,,,2012
MN,Health Plan,19100,05/18/2012,Unauthorized Access/Disclosure,Other,,,2012
NC,Healthcare Provider,591,05/18/2012,Unauthorized Access/Disclosure,Other,,,2012
OH,Business Associate,15000,05/22/2012,Unauthorized Access/Disclosure,Other,,,2012
NY,Business Associate,28187,12/21/2012,Unauthorized Access/Disclosure,Other,,,2012
CA,Health Plan,2643,12/23/2012,Unauthorized Access/Disclosure,Other,,,2012
WI,Healthcare Provider,43549,02/12/2013,Unauthorized Access/Disclosure,Other,,,2013
IL,Business Associate,500,03/01/2013,Unauthorized Access/Disclosure,Other,,,2013
IN,Healthcare Provider,3131,04/12/2013,Unauthorized Access/Disclosure,Other,,,2013
UT,Healthcare Provider,857,04/26/2013,Unauthorized Access/Disclosure,Other,,,2013
MO,Business Associate,4560,07/15/2013,Unauthorized Access/Disclosure,Other,,,2013
OR,Healthcare Provider,1361,07/28/2013,Unauthorized Access/Disclosure,Other,,,2013
NC,Healthcare Provider,1315,11/08/2013,Unauthorized Access/Disclosure,Other,,,2013
TX,Healthcare Provider,44000,12/06/2013,Unauthorized Access/Disclosure,Other,,,2013
NC,Health Plan,48752,01/06/2014,Unauthorized Access/Disclosure,Other,,,2014
GA,Business Associate,1000,03/31/2014,Unauthorized Access/Disclosure,Other,,,2014
MO,Health Plan,2546,04/11/2014,Unauthorized Access/Disclosure,Other,,,2014
MD,Health Plan,5000,04/15/2014,Unauthorized Access/Disclosure,Other,,,2014
OR,Healthcare Provider,17914,05/19/2014,Unauthorized Access/Disclosure,Other,,,2014
MD,Health Plan,620,06/19/2014,Unauthorized Access/Disclosure,Other,,,2014
KY,Healthcare Provider,697,09/09/2014,Unauthorized Access/Disclosure,Other,,,2014
MI,Health Plan,6302,10/01/2014,Unauthorized Access/Disclosure,Other,,,2014
AZ,Business Associate,15380,10/10/2014,Unauthorized Access/Disclosure,Other,,,2014
IL,Healthcare Provider,12621,12/12/2014,Unauthorized Access/Disclosure,Other,,,2014
TN,Health Plan,79000,01/13/2015,Unauthorized Access/Disclosure,Other,,,2015
TX,Healthcare Provider,3000,02/18/2015,Unauthorized Access/Disclosure,Other,,,2015
TX,Health Plan,8700,02/20/2015,Unauthorized Access/Disclosure,Other,,,2015
FL,Healthcare Provider,8700,03/20/2015,Unauthorized Access/Disclosure,Other,,,2015
,Health Plan,1458,03/31/2015,Unauthorized Access/Disclosure,Other,,,2015
MO,Healthcare Provider,503,06/09/2015,Unauthorized Access/Disclosure,Other,,,2015
FL,Health Plan,7366,03/03/2011,Other,Other,,,2011
NY,Business Associate,1900000,04/14/2011,Other,Other,,,2011
FL,Healthcare Provider,915,09/16/2013,Other,Other,,,2013
OH,Healthcare Provider,953,01/13/2014,Other,Other,,,2014
CA,Healthcare Provider,6871,06/05/2015,Theft,Network Server,,,2015
TX,Healthcare Provider,6601,12/10/2012,Unauthorized Access/Disclosure,Network Server,,,2012
WY,Health Plan,9023,03/02/2010,Other,Network Server,,,2010
CT,Healthcare Provider,957,03/26/2010,Hacking/IT Incident,Network Server,,,2010
KY,Healthcare Provider,708,06/01/2010,Hacking/IT Incident,Network Server,,,2010
TX,Healthcare Provider,27000,07/23/2010,Hacking/IT Incident,Network Server,,,2010
IN,Health Plan,31700,07/30/2010,Hacking/IT Incident,Network Server,,,2010
WA,Healthcare Provider,9493,10/15/2010,Hacking/IT Incident,Network Server,,,2010
NH,Healthcare Provider,231400,01/10/2011,Hacking/IT Incident,Network Server,,,2011
KY,Business Associate,18871,02/07/2011,Hacking/IT Incident,Network Server,,,2011
NC,Healthcare Provider,6000,04/21/2011,Hacking/IT Incident,Network Server,,,2011
IL,Business Associate,5000,07/11/2011,Hacking/IT Incident,Network Server,,,2011
MA,Healthcare Provider,2021,07/19/2011,Hacking/IT Incident,Network Server,,,2011
AR,Healthcare Provider,3116,09/07/2011,Hacking/IT Incident,Network Server,,,2011
UT,Business Associate,780000,04/11/2012,Hacking/IT Incident,Network Server,,,2012
MI,Healthcare Provider,3000,05/03/2012,Hacking/IT Incident,Network Server,,,2012
NM,Healthcare Provider,2365,09/12/2012,Hacking/IT Incident,Network Server,,,2012
IN,Healthcare Provider,2900,10/23/2012,Hacking/IT Incident,Network Server,,,2012
MA,Business Associate,4343,12/28/2012,Hacking/IT Incident,Network Server,,,2012
MA,Business Associate,4125,01/07/2013,Hacking/IT Incident,Network Server,,,2013
MA,Business Associate,7250,01/10/2013,Hacking/IT Incident,Network Server,,,2013
MA,Business Associate,4100,01/10/2013,Hacking/IT Incident,Network Server,,,2013
MN,Business Associate,6400,03/12/2013,Hacking/IT Incident,Network Server,,,2013
MA,Healthcare Provider,8727,03/20/2013,Hacking/IT Incident,Network Server,,,2013
NC,Business Associate,9988,05/08/2013,Hacking/IT Incident,Network Server,,,2013
NC,Business Associate,1924,05/10/2013,Hacking/IT Incident,Network Server,,,2013
PA,Healthcare Provider,7803,05/20/2013,Hacking/IT Incident,Network Server,,,2013
GA,Business Associate,2029,09/13/2013,Hacking/IT Incident,Network Server,,,2013
GA,Business Associate,998,09/13/2013,Hacking/IT Incident,Network Server,,,2013
IL,Business Associate,7120,10/09/2013,Hacking/IT Incident,Network Server,,,2013
MI,Healthcare Provider,3947,10/11/2013,Hacking/IT Incident,Network Server,,,2013
CA,Healthcare Provider,59000,12/10/2013,Hacking/IT Incident,Network Server,,,2013
MS,Healthcare Provider,1489,01/10/2014,Hacking/IT Incident,Network Server,,,2014
TX,Health Plan,405000,02/05/2014,Hacking/IT Incident,Network Server,,,2014
TX,Business Associate,3300,03/05/2014,Hacking/IT Incident,Network Server,,,2014
AL,Business Associate,1179,03/10/2014,Hacking/IT Incident,Network Server,,,2014
CA,Healthcare Provider,5178,04/02/2014,Hacking/IT Incident,Network Server,,,2014
UT,Business Associate,9800,04/24/2014,Hacking/IT Incident,Network Server,,,2014
IN,Business Associate,1361,04/25/2014,Hacking/IT Incident,Network Server,,,2014
MT,Health Plan,1062509,07/07/2014,Hacking/IT Incident,Network Server,,,2014
MN,Business Associate,4487,07/31/2014,Hacking/IT Incident,Network Server,,,2014
UT,Healthcare Provider,31677,08/07/2014,Hacking/IT Incident,Network Server,,,2014
GA,Business Associate,10104,08/08/2014,Hacking/IT Incident,Network Server,,,2014
TX,Business Associate,60582,08/08/2014,Hacking/IT Incident,Network Server,,,2014
CA,Healthcare Provider,1251,08/12/2014,Hacking/IT Incident,Network Server,,,2014
LA,Healthcare Provider,6073,08/15/2014,Hacking/IT Incident,Network Server,,,2014
TX,Business Associate,4500,10/10/2014,Hacking/IT Incident,Network Server,,,2014
TX,Healthcare Provider,7029,01/07/2015,Hacking/IT Incident,Network Server,,,2015
GA,Healthcare Provider,570,03/02/2015,Hacking/IT Incident,Network Server,,,2015
GA,Health Plan,557779,03/02/2015,Hacking/IT Incident,Network Server,,,2015
GA,Health Plan,355127,03/02/2015,Hacking/IT Incident,Network Server,,,2015
VA,Health Plan,697586,03/12/2015,Hacking/IT Incident,Network Server,,,2015
IN,Health Plan,78800000,03/13/2015,Hacking/IT Incident,Network Server,,,2015
WA,Health Plan,11000000,03/17/2015,Hacking/IT Incident,Network Server,,,2015
IL,Health Plan,2743,03/19/2015,Hacking/IT Incident,Network Server,,,2015
TX,Health Plan,50000,03/23/2015,Hacking/IT Incident,Network Server,,,2015
NY,Health Plan,43068,03/24/2015,Hacking/IT Incident,Network Server,,,2015
IL,Health Plan,880,03/24/2015,Hacking/IT Incident,Network Server,,,2015
TX,Health Plan,1688,03/25/2015,Hacking/IT Incident,Network Server,,,2015
SC,Health Plan,550,04/02/2015,Hacking/IT Incident,Network Server,,,2015
IL,Health Plan,782,04/03/2015,Hacking/IT Incident,Network Server,,,2015
MN,Health Plan,10946,04/03/2015,Hacking/IT Incident,Network Server,,,2015
FL,Health Plan,3074,04/07/2015,Hacking/IT Incident,Network Server,,,2015
KY,Health Plan,5440,04/09/2015,Hacking/IT Incident,Network Server,,,2015
MO,Health Plan,12500,04/16/2015,Hacking/IT Incident,Network Server,,,2015
TX,Health Plan,880,04/27/2015,Hacking/IT Incident,Network Server,,,2015
MA,Healthcare Provider,3321,05/01/2015,Hacking/IT Incident,Network Server,,,2015
MD,Health Plan,1100000,05/20/2015,Hacking/IT Incident,Network Server,,,2015
GA,Business Associate,520,08/14/2014,Hacking/IT Incident,Network Server,,,2014
OR,Healthcare Provider,4354,07/16/2012,Hacking/IT Incident,Network Server,,,2012
NJ,Healthcare Provider,27800,12/27/2012,Hacking/IT Incident,Network Server,,,2012
FL,Healthcare Provider,13000,10/15/2012,Hacking/IT Incident,Network Server,,,2012
PR,Business Associate,475000,11/04/2010,Hacking/IT Incident,Network Server,,,2010
MI,Business Associate,11387,05/26/2011,Hacking/IT Incident,Network Server,,,2011
TX,Healthcare Provider,1300,09/20/2011,Hacking/IT Incident,Network Server,,,2011
AZ,Healthcare Provider,42000,05/01/2012,Hacking/IT Incident,Network Server,,,2012
TX,Healthcare Provider,7000,05/08/2012,Hacking/IT Incident,Network Server,,,2012
NV,Healthcare Provider,800,09/05/2012,Hacking/IT Incident,Network Server,,,2012
MD,Business Associate,10766,04/17/2014,Hacking/IT Incident,Network Server,,,2014
PA,Healthcare Provider,55000,11/02/2011,Improper Disposal,Network Server,,,2011
TX,Health Plan,74944,11/10/2014,Loss,Network Server,,,2014
PA,Business Associate,22642,09/07/2010,Other,Network Server,,,2010
IL,Healthcare Provider,750,03/23/2012,Other,Network Server,,,2012
IL,Healthcare Provider,7067,07/25/2012,Other,Network Server,,,2012
AL,Business Associate,50918,07/11/2014,Other,Network Server,,,2014
NY,Business Associate,3334,07/23/2014,Other,Network Server,,,2014
FL,Healthcare Provider,14519,04/03/2013,Theft,Network Server,,,2013
MO,Healthcare Provider,1000,10/28/2009,Theft,Network Server,,,2009
CA,Healthcare Provider,3500,02/23/2010,Theft,Network Server,,,2010
CA,Healthcare Provider,40000,05/13/2010,Theft,Network Server,,,2010
TX,Healthcare Provider,600,06/21/2010,Theft,Network Server,,,2010
NV,Healthcare Provider,7526,06/22/2010,Theft,Network Server,,,2010
TX,Healthcare Provider,25000,08/05/2010,Theft,Network Server,,,2010
NY,Healthcare Provider,6800,09/24/2010,Theft,Network Server,,,2010
NY,Business Associate,1744,11/24/2010,Theft,Network Server,,,2010
FL,Healthcare Provider,156000,01/03/2011,Theft,Network Server,,,2011
OK,Healthcare Provider,84000,04/06/2011,Theft,Network Server,,,2011
IN,Healthcare Provider,757,10/25/2011,Theft,Network Server,,,2011
FL,Healthcare Provider,2900,10/31/2011,Theft,Network Server,,,2011
MD,Healthcare Provider,10480,02/29/2012,Theft,Network Server,,,2012
CA,Healthcare Provider,961,04/26/2012,Theft,Network Server,,,2012
AZ,Healthcare Provider,4800,07/27/2012,Theft,Network Server,,,2012
NY,Business Associate,1017,11/01/2012,Theft,Network Server,,,2012
VA,Business Associate,2360,04/04/2013,Theft,Network Server,,,2013
TN,Business Associate,32000,08/30/2013,Theft,Network Server,,,2013
PR,Business Associate,5000,09/11/2013,Theft,Network Server,,,2013
NY,Healthcare Provider,8000,09/16/2013,Theft,Network Server,,,2013
OH,Healthcare Provider,517,09/30/2013,Theft,Network Server,,,2013
OH,Health Plan,4230,01/13/2014,Theft,Network Server,,,2014
MI,Healthcare Provider,5370,01/16/2014,Theft,Network Server,,,2014
PR,Business Associate,398000,01/24/2014,Theft,Network Server,,,2014
NV,Healthcare Provider,12000,07/12/2014,Theft,Network Server,,,2014
TN,Business Associate,4500000,08/20/2014,Theft,Network Server,,,2014
OH,Healthcare Provider,6141,08/22/2014,Theft,Network Server,,,2014
FL,Healthcare Provider,3500,10/28/2014,Theft,Network Server,,,2014
NC,Healthcare Provider,76258,11/07/2014,Theft,Network Server,,,2014
CA,Healthcare Provider,13177,11/14/2014,Theft,Network Server,,,2014
CA,Healthcare Provider,30000,11/15/2014,Theft,Network Server,,,2014
TX,Health Plan,47683,11/21/2014,Theft,Network Server,,,2014
AL,Business Associate,25764,11/26/2014,Theft,Network Server,,,2014
CA,Healthcare Provider,3224,02/27/2015,Theft,Network Server,,,2015
TX,Healthcare Provider,7700,03/27/2015,Theft,Network Server,,,2015
IN,Business Associate,1678,03/14/2013,Theft,Network Server,,,2013
CO,Healthcare Provider,532,07/31/2013,Theft,Network Server,,,2013
PR,Business Associate,8000,01/24/2014,Theft,Network Server,,,2014
CT,Health Plan,2345,11/07/2010,Unauthorized Access/Disclosure,Network Server,,,2010
PA,Business Associate,1085,12/15/2010,Unauthorized Access/Disclosure,Network Server,,,2010
WV,Business Associate,3655,02/16/2011,Unauthorized Access/Disclosure,Network Server,,,2011
IL,Business Associate,25330,07/21/2011,Unauthorized Access/Disclosure,Network Server,,,2011
NY,Business Associate,7226,12/09/2011,Unauthorized Access/Disclosure,Network Server,,,2011
IL,Business Associate,500,11/29/2012,Unauthorized Access/Disclosure,Network Server,,,2012
GA,Healthcare Provider,18000,02/18/2013,Unauthorized Access/Disclosure,Network Server,,,2013
CT,Healthcare Provider,1382,03/08/2013,Unauthorized Access/Disclosure,Network Server,,,2013
NV,Business Associate,32151,08/08/2013,Unauthorized Access/Disclosure,Network Server,,,2013
NY,Business Associate,37000,10/25/2013,Unauthorized Access/Disclosure,Network Server,,,2013
PA,Healthcare Clearing House,2300,10/31/2013,Unauthorized Access/Disclosure,Network Server,,,2013
IL,Healthcare Provider,2080,11/29/2013,Unauthorized Access/Disclosure,Network Server,,,2013
CA,Business Associate,1499,12/16/2013,Unauthorized Access/Disclosure,Network Server,,,2013
WY,Health Plan,11935,12/16/2013,Unauthorized Access/Disclosure,Network Server,,,2013
PA,Healthcare Provider,593,02/13/2014,Unauthorized Access/Disclosure,Network Server,,,2014
MN,Business Associate,10024,02/21/2014,Unauthorized Access/Disclosure,Network Server,,,2014
MN,Business Associate,520,02/21/2014,Unauthorized Access/Disclosure,Network Server,,,2014
MN,Business Associate,4786,02/21/2014,Unauthorized Access/Disclosure,Network Server,,,2014
MN,Business Associate,1511,02/25/2014,Unauthorized Access/Disclosure,Network Server,,,2014
MN,Business Associate,1746,03/18/2014,Unauthorized Access/Disclosure,Network Server,,,2014
NJ,Business Associate,680,07/23/2014,Unauthorized Access/Disclosure,Network Server,,,2014
CA,Business Associate,4000,07/28/2014,Unauthorized Access/Disclosure,Network Server,,,2014
GA,Business Associate,7016,08/07/2014,Unauthorized Access/Disclosure,Network Server,,,2014
TN,Healthcare Provider,307528,10/03/2014,Unauthorized Access/Disclosure,Network Server,,,2014
NJ,Business Associate,585,10/06/2014,Unauthorized Access/Disclosure,Network Server,,,2014
NJ,Business Associate,35357,10/22/2014,Unauthorized Access/Disclosure,Network Server,,,2014
CA,Health Plan,843,06/09/2015,Unauthorized Access/Disclosure,Network Server,,,2015
KS,Healthcare Provider,1200,09/19/2010,Theft,Laptop,,,2010
OK,Healthcare Provider,132940,04/11/2011,Theft,Laptop,,,2011
CA,Healthcare Provider,3553,10/03/2013,Theft,Laptop,,,2013
CA,Healthcare Provider,8294,11/22/2013,Theft,Laptop,,,2013
PA,Business Associate,507,09/23/2011,Theft,Laptop,,,2011
NC,Healthcare Provider,5370,04/04/2013,Theft,Laptop,,,2013
KY,Healthcare Provider,1432,08/25/2011,Theft,Laptop,,,2011
TX,Healthcare Provider,789,09/09/2014,Loss,Laptop,,,2014
TN,Healthcare Provider,2185,12/21/2011,Theft,Laptop,,,2011
PR,Business Associate,10000,03/12/2012,Theft,Laptop,,,2012
PR,Business Associate,7606,03/15/2012,Theft,Laptop,,,2012
MT,Healthcare Provider,708,06/22/2012,Theft,Laptop,,,2012
IL,Healthcare Provider,4211,07/27/2012,Theft,Laptop,,,2012
CT,Healthcare Provider,5827,09/14/2012,Theft,Laptop,,,2012
MO,Healthcare Provider,2600,08/30/2013,Theft,Laptop,,,2013
MA,Healthcare Provider,595,08/26/2014,Theft,Laptop,,,2014
MA,Healthcare Provider,999,11/17/2014,Theft,Laptop,,,2014
NY,Health Plan,2772,02/06/2015,Theft,Laptop,,,2015
LA,Healthcare Provider,707,09/26/2014,Theft,Laptop,,,2014
TX,Healthcare Provider,4700,10/05/2010,Theft,Laptop,,,2010
OH,Healthcare Provider,850,12/20/2012,Theft,Laptop,,,2012
DC,Health Plan,3800,11/17/2009,Loss,Laptop,,,2009
